AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114436, Texnoloji maşın və avadanlıqlar mühəndisliyi,Q,200,349
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114452, Elektrik mühəndisliyi,Ə,413,413
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114477," Elektronika, telekommunikasiya və radiotexnika mühəndisliyi",Ə,485,485
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114493," Elektronika, telekommunikasiya və radiotexnika mühəndisliyi (tədris ingilis dilində)",Ə,484,484
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114517, Proseslərin avtomatlaşdırılması mühəndisliyi,Ə,530,530
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114533, Proseslərin avtomatlaşdırılması mühəndisliyi (tədris ingilis dilində),Ə,594,594
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114541, Mexatronika və robototexnika mühəndisliyi,Ə,200, - 
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114558, Mexatronika və robototexnika mühəndisliyi (tədris ingilis dilində),Ə,554,554
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114566, Mexanika mühəndisliyi,Ə,292,443
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114574, Kompüter mühəndisliyi,Ə,546,546
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114582, Kompüter mühəndisliyi,Q,245,548
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114614, Kompüter mühəndisliyi (tədris ingilis dilində),Ə,600,600
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114622, Kimya mühəndisliyi,Ə,272,551
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114647, Kimya mühəndisliyi (tədris ingilis dilində),Ə,584,584
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114655, Təkrar emal və bərpa texnologiyaları mühəndisliyi,Ə,269,329
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114663," Metrologiya, standartlaşdırma və sertifikasiya mühəndisliyi",Ə,242,439
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114688," Metrologiya, standartlaşdırma və sertifikasiya mühəndisliyi (tədris ingilis dilində)",Ə,200,440
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114696, Biotibbi texnologiya mühəndisliyi,Ə,437,437
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114728, Biotibbi texnologiya mühəndisliyi (tədris ingilis dilində),Ə,200,417
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114736, Ekologiya mühəndisliyi,Ə,372,372
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114752, Ekologiya mühəndisliyi (tədris ingilis dilində),Ə,200,338
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114769, Fövqəladə hallar və həyat fəaliyyətinin təhlükəsizliyi mühəndisliyi,Ə,453,453
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114777, İnformasiya texnologiyaları,Ə,546,546
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114793, İnformasiya texnologiyaları (tədris ingilis dilində),Ə,588,588
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114817, Sistem mühəndisliyi,Ə,247,559
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114825, Sistem mühəndisliyi (tədris ingilis dilində),Ə,617,617
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,114833, Sistem mühəndisliyi (tədris ingilis dilində),Ə,629,629
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116112, Silah və silah sistemlərinin istehsal texnologiyası,Ə,494,494
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116137, Optotexnika,Ə,345,345
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116145, Pirotexniki vasitələrin texnologiyası,Ə,326,326
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116153," Çoxkanallı radiorele və troposfer rabitəsinin yerüstü aparatlarının hazırlanması, istismarı və təmiri",Ə,360,360
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116161, Kompozisiya materiallarından müdafiə təyinatlı məmulatların layihələndirilməsi və istehsalı,Ə,314,314
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116178, İnformasiya təhlükəsizliyi,Ə,471,471
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116186, Kompüter elmləri,Ə,300, - 
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116194, Materialşünaslıq mühəndisliyi,Ə,200,320
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116218, Dağ-mədən mühəndisliyi,Ə,218,347
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116226, Elektroenergetika mühəndisliyi,Ə,241,402
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116234, İstilik energetikası mühəndisliyi,Ə,230,360
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116242, İstilik energetikası mühəndisliyi,Q,200, - 
AZ,I,Azərbaycan Dövlət Neft və Sənaye Universiteti,116259, Enerji maşınqayırması mühəndisliyi,Ə,212,347
